[2025-10-26 21:14:38.028] [info]  AutoUpdater configured.
[2025-10-26 21:14:38.030] [info]  Checking for update
[2025-10-26 21:14:38.051] [info]  Generated new staging user ID: ca1566d0-a3a4-58bb-8e77-99b2e7970370
[2025-10-26 21:14:40.170] [info]  Found version 2.13.2 (url: bruno_2.13.2_x86_64_linux.AppImage, bruno_2.13.2_amd64_linux.deb, bruno_2.13.2_x86_64_linux.rpm)
[2025-10-26 21:14:40.170] [info]  Update to 2.13.2 available, download will start
[2025-10-26 21:14:40.171] [info]  Downloading update from bruno_2.13.2_x86_64_linux.AppImage, bruno_2.13.2_amd64_linux.deb, bruno_2.13.2_x86_64_linux.rpm
[2025-10-26 21:14:49.364] [info]  New version 2.13.2 has been downloaded to /home/suckseed/.cache/bruno-updater/pending/bruno_2.13.2_amd64_linux.deb
[2025-10-26 21:14:49.365] [info]  Update to 2.13.2 downloaded
[2025-10-26 21:18:43.020] [info]  Auto install update on quit
[2025-10-26 21:18:43.021] [info]  Install: isSilent: true, isForceRunAfter: false
[2025-10-26 21:18:43.021] [info]  Executing: which gksudo || which kdesudo || which pkexec || which beesu with args: 
[2025-10-26 21:18:43.030] [info]  Executing: /usr/bin/pkexec --disable-internal-agent with args: /bin/bash,-c,'dpkg -i /home/suckseed/.cache/bruno-updater/pending/bruno_2.13.2_amd64_linux.deb || apt-get install -f -y'
